0 277.402 3.56194
1 142.586 2.28469
2 288.342 3.56297
3 255.742 3.55568
4 161.029 2.44423
5 285.921 3.5627
6 134.087 2.21577
7 319.852 3.56916
8 386.523 3.59659
9 116.158 2.08122
10 123.109 2.13152
11 249.266 3.5417
12 262.344 3.56133
13 185.369 2.67512
14 194.227 2.76656
15 222.239 3.17356
16 194.27 2.76702
17 344.486 3.57716
18 297.264 3.56425
19 570.932 3.74004
20 167.251 2.50096
21 278.219 3.562
22 136.191 2.23254
23 318.025 3.56867
24 419.9 3.61651
25 164.244 2.47336
26 75.1097 1.83919
27 214.387 3.01182
28 110.049 2.03908
29 85.1045 1.88895
30 177.286 2.59563
31 418.609 3.61567
32 222.366 3.1783
33 398.62 3.60339
34 154.249 2.38407
35 448.427 3.63617
36 197.964 2.80698
37 151.163 2.35725
38 162.232 2.45508
39 174.194 2.56603
40 342.297 3.57634
41 154.249 2.38407
42 158.2 2.41892
43 262.344 3.56133
44 126.584 2.15757
45 466.48 3.64968
46 488.767 3.66737
47 206.263 2.90279
48 184.318 2.6646
49 201.242 2.84365
50 45.0837 1.72501
51 220.35 3.12004
52 227.323 3.38969
53 60.0843 1.77564
54 66.0614 1.79933
55 122.143 2.12438
56 116.201 2.08152
57 280.363 3.56216
58 300.336 3.56477
59 335.825 3.57404
60 407.613 3.60876
61 702.596 3.87129
62 134.218 2.2168
63 102.135 1.98754
64 190.346 2.72584
65 136.191 2.23254
66 396.834 3.60235
67 137.136 2.24013
68 130.186 2.18519
69 357.375 3.58238
70 137.179 2.24048
71 151.186 2.35745
72 174.281 2.56684
73 156.265 2.40178
74 411.62 3.61123
75 305.631 3.56579
76 108.141 2.02633
77 130.185 2.18518
78 186.291 2.68441
79 156.224 2.40141
80 423.734 3.61902
81 146.141 2.31441
82 412.646 3.61187
83 254.217 3.55317
84 380.545 3.59341
85 142.197 2.28147
86 286.452 3.56275
87 184.275 2.66417
88 174.998 2.57369
89 158.238 2.41926
90 691.854 3.86018
91 124.203 2.13966
92 230.433 3.43033
93 446.581 3.63483
