433,11.16
719,15.4
887,13.4
1036,9.45
1221,17.7
1566,16.9
1580,14.5
1620,15.60
1627,13.2
1685,14.23
1862,16.25
1863,15.54
1864,14.85
1865,16.84
1866,12.4
1915,18.97
1916,14.93
1917,13.9
1943,15.75
1980,13.92
1981,15.2
2059,15.8
2061,16.56
2062,16.80
2063,17.2
2100,16.05
2101,18.8
2102,15.9
2135,17.94
2201,15.25
2202,17.1
2212,13.87
2329,14.5
2340,20.0
2368,15.21
2608,17.52
3102,16.1
3103,15.38
3122,14.1
3199,14.84
3200,14.6
3271,16.5
3288,15.2
3352,15.8
3360,15.9
3361,19.03
3362,18.3
3551,16.75
3552,12.9
3553,16.4
3554,15.82
3671,16.4
3691,14.6
3752,15.3
3753,15.6
3757,18.95
3838,15.5
3908,17.3
3988,17.8
4015,15.99
4034,18.4
4055,14.5
4179,15.30
4183,14.4
4197,14.6
4257,15.8
4341,15.9
4401,15.5
4450,17.1
4486,15.6
4487,17.4
4503,15.6
4544,17.1
4581,20.7
4596,16.0
4660,18.2
4688,19.4
4769,16.9
4947,18.0
4953,14.1
4954,12.6
4957,14.9
5011,16.3
5131,14.6
5143,13.8
5189,17.7
5324,15.5
5332,14.6
5370,15.2
5381,16.5
5496,16.0
5587,13.8
5590,19.7
5604,17.1
5620,17.0
5626,14.2
5645,17.1
5646,15.2
5653,16.1
5660,15.4
5693,16.6
5731,15.7
5751,14.6
5786,17.1
5797,18.8
5828,15.9
5836,14.7
5863,15.6
5869,17.2
5879,17.4
6037,18.7
6047,17.8
6050,14.8
6053,14.9
6063,15.9
6178,15.1
6239,18.4
6455,13.8
6456,15.9
6489,19.2
6491,18.8
6569,16.4
6611,16.8
7025,18.3
7088,16.7
7092,15.0
7236,18.4
7335,17.0
7336,18.8
7341,16.7
7350,17.0
7358,14.6
7474,18.0
7480,17.0
7482,16.8
7753,18.6
7822,17.4
7839,17.8
7888,15.1
7889,15.1
7977,15.2
8013,16.9
8014,18.7
8034,17.8
8035,17.0
8037,16.2
8176,16.9
8201,15.8
8507,17.3
8566,16.3
8567,15.3
8709,17.0
9058,17.5
9162,17.9
9172,16.4
9202,15.8
9400,14.8
9856,17.4
9950,16.2
10115,17.0
10145,16.9
10150,15.2
10165,17.3
10302,19.3
10563,16.8
10636,17.5
10860,17.2
11054,16.9
11066,15.2
11284,18.1
11311,16.2
11398,16.3
11405,15.2
11500,18.4
11885,18.5
12538,15.8
12711,15.8
12923,15.8
13553,16.3
13651,17.6
14402,18.6
14827,18.3
15745,17.2
15817,18.5
16064,16.8
16636,18.7
16657,16.6
16816,16.1
16834,15.5
16912,18.0
16960,14.3
17181,16.3
17182,16.9
17188,16.5
17274,16.6
17511,17.1
18106,17.7
18109,17.0
18172,15.4
18736,15.8
18882,15.9
19356,16.8
19764,15.9
20086,16.8
20236,17.6
20255,18.2
20425,20.4
20429,17.6
20460,15.2
20790,16.4
20826,13.7
21277,16.0
21374,17.3
22099,18.0
22753,17.7
22771,16.8
23183,15.9
23187,16.1
23548,17.1
23606,18.5
23714,16.6
24443,16.2
24445,14.6
24475,16.3
24761,17.2
25143,19.2
25330,16.6
25916,13.4
26166,16.8
26310,19.2
26379,18.0
26663,18.1
26760,15.3
26817,19.5
27002,18.2
27031,17.8
27346,15.8
29075,17.1
30825,14.8
30997,17.0
31210,16.2
31221,17.1
31345,17.3
31346,17.2
